#sec,nsec,x,y,z,qx,qy,qz,qw
1625132069,158812160,6.480905467,-56.18264898,0.9662902927,-0.008606563288,0.02200112682,0.473694466,0.8803723249
1625132069,259096832,6.480829575,-56.17929269,0.9609643945,-0.007419028763,0.02217620252,0.4732380734,0.8806241536
1625132069,359302144,6.479696878,-56.17472709,0.9537585716,-0.007061486065,0.02116971424,0.4743068851,0.880076677
1625132069,459553024,6.478202253,-56.16985428,0.9455216631,-0.007358799029,0.01913992995,0.4725009639,0.8810915675
1625132069,559636992,6.477934856,-56.16465391,0.9383453733,-0.008490757511,0.01771989108,0.4722384641,0.8812518059
1625132069,659547136,6.478027844,-56.16043377,0.9326252475,-0.008423117727,0.01676063413,0.4729623459,0.8808829387
1625132069,759377408,6.480368569,-56.15485426,0.9267050692,-0.007237039779,0.01608600736,0.4749493999,0.8798363104
1625132069,859227136,6.480925605,-56.15224243,0.9232155822,-0.006668753105,0.01549392739,0.4735152659,0.8806240735
1625132069,958990848,6.479813377,-56.15109583,0.9200820586,-0.006547105065,0.01509383398,0.4735364008,0.8806205702
1625132070,58728448,6.482737275,-56.15066142,0.9164699728,-0.006021136601,0.01569742122,0.4744508403,0.8801214331
1625132070,158521344,6.485802786,-56.15113749,0.9110066232,-0.005369836619,0.01652998564,0.4744074828,0.8801337766
1625132070,258326016,6.490018784,-56.15138989,0.9068283075,-0.004369700296,0.01724548228,0.4748436442,0.8798903412
1625132070,358213120,6.49043492,-56.1529195,0.9023097965,-0.00398903693,0.0171174625,0.4732702522,0.8807419307
1625132070,458003456,6.494170799,-56.15116036,0.8973084072,-0.003787560157,0.01817723091,0.4729879732,0.8808732144
1625132070,557883392,6.498029402,-56.14944187,0.892111818,-0.002796795686,0.01969553907,0.4735141106,0.8805615542
1625132070,658039296,6.499152881,-56.15202235,0.8868162737,-0.001737709748,0.02033384596,0.4733808637,0.880621413
1625132070,758319872,6.501752532,-56.15255031,0.880944821,-0.0002569536971,0.02058379295,0.4715799551,0.8815830009
